district,party,chamber,name,2018_score,lifetime_score
KY,R,2,"Paul, Rand",7,8
KY,R,2,"McConnell, Mitch",14,7
RI,D,2,"Whitehouse, Sheldon",100,98
RI,D,2,"Reed, Jack",100,97
SC,R,2,"Graham, Lindsey",7,12
SC,R,2,"Scott, Tim",7,3
MS,R,2,"Wicker, Roger",7,5
MS,R,2,"Hyde-Smith, Cindy",8,8
ME,D,2,"King, Angus",93,90
ME,R,2,"Collins, Susan",21,61
ID,R,2,"Risch, Jim",7,7
ID,R,2,"Crapo, Michael",7,6
NE,R,2,"Sasse, Benjamin",14,3
NE,R,2,"Fischer, Deb",7,5
KS,R,2,"Roberts, Pat",7,9
KS,R,2,"Moran, Jerry",14,8
SD,R,2,"Thune, John",14,10
SD,R,2,"Rounds, Mike",7,3
VT,D,2,"Sanders, Bernie",100,92
VT,D,2,"Leahy, Patrick",100,94
